country_code,country_name,year,access_to_electricity_pct,energy_use_per_capita_kg_oil_eq,fertilizer_consumption_kg_per_ha,forest_area_pct_land,fossil_fuel_energy_pct,gdp_per_capita_current_usd,industry_value_added_pct_gdp,life_expectancy_years,pm25_mean_exposure,renewable_energy_pct_total_final,school_enrollment_secondary_gross_pct,urban_population_pct
CHN,China,2010,99.7,1899.79996108685,425.239340293993,21.3683288541342,90.8066275814595,4629.24551710077,45.7066207106778,75.668,47.4765519945183,12.3,90.7829173331445,49.2340270628041
CHN,China,2011,99.9,2027.46525356855,444.64980620155,21.574627370433,91.4247318781345,5703.76027973346,45.8002054108107,75.889,51.34994369566,11.3,92.0329425203903,51.8300285339355
CHN,China,2012,99.9,2085.21872095825,457.333238442414,21.7809258867318,91.1492191796216,6405.0574241349,44.6820698165478,76.2,48.1207251131123,11.5,92.2603063015232,53.1003112792969
CHN,China,2013,100.0,2137.32572690907,458.516155476157,21.9872244030306,91.0001219143645,7147.03518622344,43.3938707801605,76.452,58.4662215596184,11.5,,54.4900016784668
CHN,China,2014,100.0,2177.55011435267,477.579277718331,22.1935229193294,89.5548400213043,7781.06597484974,42.2827157791092,76.714,54.5688342973092,11.9,,55.7502555847168
CHN,China,2015,100.0,2175.1544486832,465.6126796366,22.3998214356282,71.0695588904552,8175.33285077393,40.0475902161032,76.975,50.832537964484,12.2,,57.3297843933105
CHN,China,2016,100.0,2149.2047500244,480.055071748405,22.6305120997506,0.0,8254.86859320357,38.811156093921,77.214,46.8324682508133,12.6,,58.8399238586426
CHN,China,2017,100.0,2215.91139022057,460.457754805883,22.8306567492632,0.0,8979.67652709856,39.129944350895,77.235,45.8369336166997,13.1,,60.2402687072754
CHN,China,2018,100.0,2310.87757050979,442.553246565176,23.0309079153534,0.0,10085.6638148819,38.9777001747097,77.709,40.2663875187565,13.5,,61.5001983642578
CHN,China,2019,100.0,2397.96868908473,427.750847233594,23.2311590814436,0.0,10342.9009524335,37.7642333162735,77.94,37.5475753654351,14.3,,62.7099151611328
CHN,China,2020,100.0,2465.96954605987,414.491446133711,23.4313037309562,0.0,10627.4637989619,36.9115624066306,78.019,34.8105237153218,14.9,,63.5234230266258
FRA,France,2010,100.0,4040.43918739374,150.537957564465,30.4647926523796,49.5463820747788,40694.8211697025,17.5945885002022,81.6634146341463,13.7778502943804,11.9,106.424942016602,77.0962844808803
FRA,France,2011,100.0,3951.00450412595,141.299303944316,30.6195379905372,47.3979454513166,43929.7840873812,17.6800048726048,82.1146341463415,13.7974719352463,10.6,106.610641479492,77.1182717387509
FRA,France,2012,100.0,3929.20601557226,160.786305431114,30.7742833286947,47.8591536148997,40863.5814412333,17.4684347699959,81.9682926829268,12.5585885208406,12.3,105.813583374023,77.1669464919916
FRA,France,2013,100.0,3925.86545930191,169.417394582015,30.9290286668522,47.4024408546966,42669.1795111893,17.5699939241217,82.219512195122,12.4582922718332,13.4,104.376602172852,77.2440721470918
FRA,France,2014,100.0,3755.83244171123,168.426725431051,31.0837740050097,45.0352121657311,43148.0459288416,17.3416195349368,82.719512195122,10.687674674804,13.2,103.425827026367,77.3524296788613
